l,pi_prime_l,pi_l
0,0.049079754601226995,0.02544642857142857
1,0.08588957055214724,0.05089285714285714
2,0.12883435582822086,0.07633928571428572
3,0.17177914110429449,0.10178571428571428
4,0.2147239263803681,0.12723214285714285
5,0.25766871165644173,0.15267857142857144
6,0.26993865030674846,0.178125
7,0.2883435582822086,0.20357142857142857
8,0.3006134969325153,0.22901785714285713
9,0.32515337423312884,0.2544642857142857
10,0.3496932515337423,0.2799107142857143
11,0.3803680981595092,0.3053571428571429
12,0.3987730061349693,0.3308035714285714
13,0.4171779141104294,0.35625
14,0.44785276073619634,0.38169642857142855
15,0.4662576687116564,0.40714285714285714
16,0.49079754601226994,0.43258928571428573
17,0.5153374233128835,0.45803571428571427
18,0.5276073619631901,0.48348214285714286
19,0.5460122699386503,0.5089285714285714
20,0.558282208588957,0.534375
21,0.588957055214724,0.5598214285714286
22,0.6257668711656442,0.5852678571428571
23,0.6257668711656442,0.6107142857142858
24,0.6503067484662577,0.6361607142857143
25,0.6687116564417178,0.6616071428571428
26,0.7055214723926381,0.6870535714285714
27,0.7239263803680982,0.7125
28,0.7607361963190185,0.7379464285714286
29,0.7791411042944786,0.7633928571428571
30,0.8098159509202454,0.7888392857142857
31,0.8466257668711656,0.8142857142857143
32,0.8834355828220859,0.8397321428571428
33,0.9079754601226994,0.8651785714285715
34,0.9202453987730062,0.890625
35,0.9447852760736196,0.9160714285714285
36,0.9570552147239264,0.9415178571428572
37,0.9815950920245399,0.9669642857142857
38,0.9938650306748467,0.9924107142857143
39,1.0,1.0
