pct,pi_p,lift
5,0.3392857142857143,4.662576687116564
10,0.33482142857142855,4.60122699386503
20,0.296875,4.079754601226994
30,0.21875,3.0061349693251533
50,0.14017857142857143,1.9263803680981595
