l,pi_prime_l,pi_l
0,0.007589285714285714,0.0
1,0.033035714285714286,0.0013392857142857143
2,0.05848214285714286,0.003125
3,0.08392857142857142,0.005357142857142857
4,0.109375,0.007142857142857143
5,0.13482142857142856,0.011607142857142858
6,0.16026785714285716,0.0125
7,0.18571428571428572,0.013392857142857142
8,0.21116071428571428,0.016517857142857143
9,0.23660714285714285,0.016517857142857143
10,0.26205357142857144,0.017857142857142856
11,0.2875,0.01875
12,0.31294642857142857,0.020535714285714286
13,0.33839285714285716,0.021875
14,0.3638392857142857,0.023660714285714285
15,0.3892857142857143,0.024553571428571428
16,0.4147321428571429,0.024553571428571428
17,0.4401785714285714,0.025892857142857145
18,0.465625,0.027678571428571427
19,0.49107142857142855,0.030357142857142857
20,0.5165178571428571,0.033035714285714286
21,0.5419642857142857,0.034375
22,0.5674107142857143,0.03660714285714286
23,0.5928571428571429,0.039285714285714285
24,0.6183035714285714,0.039732142857142855
25,0.64375,0.04107142857142857
26,0.6691964285714286,0.04375
27,0.6946428571428571,0.045535714285714284
28,0.7200892857142858,0.04732142857142857
29,0.7455357142857143,0.05133928571428571
30,0.7709821428571428,0.05267857142857143
31,0.7964285714285714,0.054464285714285715
32,0.821875,0.05625
33,0.8473214285714286,0.05758928571428571
34,0.8727678571428571,0.060267857142857144
35,0.8982142857142857,0.06205357142857143
36,0.9236607142857143,0.06517857142857143
37,0.9491071428571428,0.06785714285714285
38,0.9745535714285715,0.06919642857142858
39,1.0,0.07276785714285715
