l,pi_prime_l,pi_l
0,0.06666666666666667,0.02544642857142857
1,0.23333333333333334,0.05089285714285714
2,0.3333333333333333,0.07633928571428572
3,0.36666666666666664,0.10178571428571428
4,0.4,0.12723214285714285
5,0.4666666666666667,0.15267857142857144
6,0.5,0.178125
7,0.6,0.20357142857142857
8,0.6,0.22901785714285713
9,0.7,0.2544642857142857
10,0.7,0.2799107142857143
11,0.8,0.3053571428571429
12,0.8,0.3308035714285714
13,0.8,0.35625
14,0.8,0.38169642857142855
15,0.8,0.40714285714285714
16,0.8666666666666667,0.43258928571428573
17,0.9,0.45803571428571427
18,0.9,0.48348214285714286
19,0.9,0.5089285714285714
20,0.9333333333333333,0.534375
21,0.9333333333333333,0.5598214285714286
22,0.9333333333333333,0.5852678571428571
23,0.9333333333333333,0.6107142857142858
24,0.9333333333333333,0.6361607142857143
25,0.9333333333333333,0.6616071428571428
26,0.9333333333333333,0.6870535714285714
27,0.9333333333333333,0.7125
28,0.9333333333333333,0.7379464285714286
29,0.9333333333333333,0.7633928571428571
30,0.9333333333333333,0.7888392857142857
31,0.9333333333333333,0.8142857142857143
32,0.9333333333333333,0.8397321428571428
33,1.0,0.8651785714285715
34,1.0,0.890625
35,1.0,0.9160714285714285
36,1.0,0.9415178571428572
37,1.0,0.9669642857142857
38,1.0,0.9924107142857143
39,1.0,1.0
