l,pi_prime_l,pi_l
0,0.24539877300613497,0.02544642857142857
1,0.43558282208588955,0.05089285714285714
2,0.558282208588957,0.07633928571428572
3,0.6687116564417178,0.10178571428571428
4,0.7730061349693251,0.12723214285714285
5,0.8588957055214724,0.15267857142857144
6,0.901840490797546,0.178125
7,0.9447852760736196,0.20357142857142857
8,0.9631901840490797,0.22901785714285713
9,0.9815950920245399,0.2544642857142857
10,0.9877300613496932,0.2799107142857143
11,0.9938650306748467,0.3053571428571429
12,0.9938650306748467,0.3308035714285714
13,1.0,0.35625
14,1.0,0.38169642857142855
15,1.0,0.40714285714285714
16,1.0,0.43258928571428573
17,1.0,0.45803571428571427
18,1.0,0.48348214285714286
19,1.0,0.5089285714285714
20,1.0,0.534375
21,1.0,0.5598214285714286
22,1.0,0.5852678571428571
23,1.0,0.6107142857142858
24,1.0,0.6361607142857143
25,1.0,0.6616071428571428
26,1.0,0.6870535714285714
27,1.0,0.7125
28,1.0,0.7379464285714286
29,1.0,0.7633928571428571
30,1.0,0.7888392857142857
31,1.0,0.8142857142857143
32,1.0,0.8397321428571428
33,1.0,0.8651785714285715
34,1.0,0.890625
35,1.0,0.9160714285714285
36,1.0,0.9415178571428572
37,1.0,0.9669642857142857
38,1.0,0.9924107142857143
39,1.0,1.0
