l,pi_prime_l,pi_l
0,0.007589285714285714,0.0004464285714285714
1,0.033035714285714286,0.0013392857142857143
2,0.05848214285714286,0.0040178571428571425
3,0.08392857142857142,0.005803571428571429
4,0.109375,0.008928571428571428
5,0.13482142857142856,0.010714285714285714
6,0.16026785714285716,0.012053571428571429
7,0.18571428571428572,0.012053571428571429
8,0.21116071428571428,0.013392857142857142
9,0.23660714285714285,0.014732142857142857
10,0.26205357142857144,0.01607142857142857
11,0.2875,0.016964285714285713
12,0.31294642857142857,0.020089285714285716
13,0.33839285714285716,0.021875
14,0.3638392857142857,0.024553571428571428
15,0.3892857142857143,0.025892857142857145
16,0.4147321428571429,0.026339285714285714
17,0.4401785714285714,0.02857142857142857
18,0.465625,0.030357142857142857
19,0.49107142857142855,0.033035714285714286
20,0.5165178571428571,0.03616071428571429
21,0.5419642857142857,0.038392857142857145
22,0.5674107142857143,0.04017857142857143
23,0.5928571428571429,0.04107142857142857
24,0.6183035714285714,0.04285714285714286
25,0.64375,0.045089285714285714
26,0.6691964285714286,0.04642857142857143
27,0.6946428571428571,0.048660714285714286
28,0.7200892857142858,0.05044642857142857
29,0.7455357142857143,0.05267857142857143
30,0.7709821428571428,0.054017857142857145
31,0.7964285714285714,0.05669642857142857
32,0.821875,0.05758928571428571
33,0.8473214285714286,0.059375
34,0.8727678571428571,0.061160714285714284
35,0.8982142857142857,0.06294642857142857
36,0.9236607142857143,0.06517857142857143
37,0.9491071428571428,0.06696428571428571
38,0.9745535714285715,0.06964285714285715
39,1.0,0.07276785714285715
