l,pi_prime_l,pi_l
0,0.007589285714285714,0.0
1,0.033035714285714286,0.003125
2,0.05848214285714286,0.004464285714285714
3,0.08392857142857142,0.006696428571428571
4,0.109375,0.007589285714285714
5,0.13482142857142856,0.010714285714285714
6,0.16026785714285716,0.011160714285714286
7,0.18571428571428572,0.013839285714285714
8,0.21116071428571428,0.016964285714285713
9,0.23660714285714285,0.017857142857142856
10,0.26205357142857144,0.01830357142857143
11,0.2875,0.020089285714285716
12,0.31294642857142857,0.021875
13,0.33839285714285716,0.025
14,0.3638392857142857,0.028125
15,0.3892857142857143,0.03080357142857143
16,0.4147321428571429,0.033482142857142856
17,0.4401785714285714,0.03571428571428571
18,0.465625,0.03660714285714286
19,0.49107142857142855,0.038392857142857145
20,0.5165178571428571,0.04017857142857143
21,0.5419642857142857,0.04196428571428571
22,0.5674107142857143,0.045089285714285714
23,0.5928571428571429,0.04642857142857143
24,0.6183035714285714,0.048214285714285716
25,0.64375,0.05044642857142857
26,0.6691964285714286,0.05267857142857143
27,0.6946428571428571,0.054910714285714285
28,0.7200892857142858,0.05580357142857143
29,0.7455357142857143,0.05892857142857143
30,0.7709821428571428,0.059375
31,0.7964285714285714,0.060267857142857144
32,0.821875,0.06160714285714286
33,0.8473214285714286,0.0625
34,0.8727678571428571,0.06339285714285714
35,0.8982142857142857,0.06339285714285714
36,0.9236607142857143,0.06473214285714286
37,0.9491071428571428,0.06696428571428571
38,0.9745535714285715,0.06919642857142858
39,1.0,0.07276785714285715
