l,pi_prime_l,pi_l
0,0.007589285714285714,0.0
1,0.033035714285714286,0.0008928571428571428
2,0.05848214285714286,0.0008928571428571428
3,0.08392857142857142,0.0008928571428571428
4,0.109375,0.0008928571428571428
5,0.13482142857142856,0.0008928571428571428
6,0.16026785714285716,0.0008928571428571428
7,0.18571428571428572,0.0013392857142857143
8,0.21116071428571428,0.0013392857142857143
9,0.23660714285714285,0.0013392857142857143
10,0.26205357142857144,0.003125
11,0.2875,0.003125
12,0.31294642857142857,0.0035714285714285713
13,0.33839285714285716,0.0035714285714285713
14,0.3638392857142857,0.0035714285714285713
15,0.3892857142857143,0.0040178571428571425
16,0.4147321428571429,0.004464285714285714
17,0.4401785714285714,0.004910714285714286
18,0.465625,0.004910714285714286
19,0.49107142857142855,0.005357142857142857
20,0.5165178571428571,0.005357142857142857
21,0.5419642857142857,0.005357142857142857
22,0.5674107142857143,0.005357142857142857
23,0.5928571428571429,0.007589285714285714
24,0.6183035714285714,0.007589285714285714
25,0.64375,0.007589285714285714
26,0.6691964285714286,0.008035714285714285
27,0.6946428571428571,0.008035714285714285
28,0.7200892857142858,0.008928571428571428
29,0.7455357142857143,0.009821428571428571
30,0.7709821428571428,0.009821428571428571
31,0.7964285714285714,0.011160714285714286
32,0.821875,0.011160714285714286
33,0.8473214285714286,0.011160714285714286
34,0.8727678571428571,0.012053571428571429
35,0.8982142857142857,0.012053571428571429
36,0.9236607142857143,0.0125
37,0.9491071428571428,0.012946428571428572
38,0.9745535714285715,0.013392857142857142
39,1.0,0.013392857142857142
